Date,Delaware (DE),Florida (FL),Georgia (GA),Maryland (MD),North Carolina (NC),South Carolina (SC),Virginia (VA),District of Columbia (DC),West Virginia (WV),Alabama (AL),Kentucky (KY),Mississippi (MS),Tennessee (TN),Arkansas (AR),Louisiana (LA),Oklahoma (OK),Texas (TX)
2015-11-30,153.7482638,171.7978662,124.46371623,172.98576056,131.99742347,134.30816513,174.00504578,316.28978877,141.82700437,127.49448839,130.91384878,129.59059442,142.54371997,135.57081393,154.47196199,146.99611321,167.56430867
2015-12-31,153.75911151,172.51974214,124.45614232,172.49868766,132.03454221,134.27994435,173.09981855,317.72042311,141.22637083,127.0006386,131.13785024,130.02080218,142.36739812,135.08290965,154.24647765,146.66941727,167.53308528
2016-01-31,153.41334374,173.00002078,124.7970317,171.85422228,132.3526385,134.12164981,172.656095,318.77243497,140.71082892,127.03206842,131.09068767,130.44621805,142.75605848,134.56429722,154.32813997,146.59583867,168.14140756
2016-02-29,153.13399559,174.2930206,125.68067544,172.2302064,132.99815735,134.42305927,173.44376174,319.63651857,140.53703141,127.71661415,131.12955741,130.67359423,143.76354427,134.51349771,155.0108129,146.92188024,169.75720332
2016-03-31,153.26714877,176.64422075,127.28913404,173.8702842,134.17618372,135.33337366,175.30729971,320.78329036,140.96619055,128.8224364,132.01424088,130.87670912,145.10499049,135.21235356,156.27244884,147.52019796,171.43922793
2016-04-30,153.83327276,178.87012995,129.43219008,176.32906812,135.77671046,136.75464805,177.46797362,322.39527253,142.00089553,130.23890355,133.70540586,131.26214354,146.79319977,136.33707606,157.68018256,148.14127918,173.06649489
2016-05-31,154.46757401,180.91313192,131.24309094,178.68096385,137.32323904,138.31510679,179.34932907,324.18079458,143.33590049,131.58454309,135.65228278,131.7980613,148.41682223,137.39484869,158.71777166,148.84410623,175.0274597
2016-06-30,155.02110726,182.98624607,132.15791735,179.90720226,138.45274233,139.26259627,180.49862682,325.31620944,144.46455514,132.6399188,137.04338454,132.16237021,149.56153516,138.15493283,159.25533104,149.68137489,176.46376201
2016-07-31,155.4780685,184.38325154,132.67177248,179.85830537,139.06721347,139.67188667,180.56788212,325.47901527,144.98306609,133.32702401,137.3947397,132.05142309,150.54409507,138.46699843,159.22991654,150.38255613,177.24887239
2016-08-31,155.66491608,185.32251251,132.85722315,179.52979814,139.3986244,140.42631985,180.12257088,325.35747438,144.99001361,133.45196979,137.03033224,131.64973533,151.46199034,138.3507277,158.91383344,150.60075813,177.9006886
2016-09-30,155.54997094,186.25054462,132.83810179,179.60815226,139.592627,141.36224271,179.74944228,325.21114949,144.84962024,133.11847444,136.42218531,131.41332631,151.88848308,138.04507422,158.95980261,150.2505364,178.17457904
2016-10-31,155.25939782,187.23385257,132.82830766,179.58071021,139.56775088,141.58317711,179.66843489,325.38611915,144.5409902,132.40770746,135.94025431,131.49584205,151.85764482,137.76229084,159.46019707,149.54709882,178.21536814
2016-11-30,154.97313125,187.94174642,132.86481762,179.03097161,139.3530464,141.19691007,179.36204966,326.22943552,144.02873121,131.83935894,135.73953509,131.73725377,152.01736435,137.83138763,159.99583399,149.0947833,178.37075744
2016-12-31,154.66126776,188.59100342,133.05903478,178.18924103,139.12002715,140.89373542,178.6289925,327.85940176,143.37367302,131.78811239,135.83198407,131.92177871,152.3704509,138.32324411,160.11125865,149.17674994,178.6165454
2017-01-31,154.51118581,189.91969805,133.5826063,177.73157075,139.25201822,141.17740346,178.35803528,330.44415876,142.85052713,132.19226177,136.41851498,132.00474706,152.94606238,138.91001674,160.20571143,149.76911861,179.60879742
2017-02-28,154.93801807,191.75658597,134.67823276,178.6793088,140.38861505,142.17049887,179.41019866,333.31271642,142.80480049,133.15438378,137.59128008,132.18471904,154.21033582,139.57334127,160.66074788,151.05385048,181.34024277
2017-03-31,156.16147305,193.48166543,136.27335103,181.23993027,142.67753631,143.55240014,181.94518893,335.73643119,143.40814038,134.64589067,139.27315067,132.52795865,155.89481846,140.53730563,161.43793949,152.69074714,183.29062569
2017-04-30,157.70569299,195.22042462,138.16576747,184.11121278,145.37188116,144.96734655,184.85875889,338.09360441,144.44289552,136.25527049,141.1912766,133.20357682,157.64051392,141.62447516,162.50646024,153.93052667,185.87152377
2017-05-31,159.01634296,196.92052886,139.87891636,186.21824853,147.26498528,146.45943087,186.83776285,340.57861381,145.45497586,137.4176746,142.81284986,134.4484833,159.42030305,142.54692941,163.13587906,154.58514411,188.01494955
