Date,Arizona (AZ),Colorado (CO),Idaho (ID),Montana (MT),Nevada (NV),New Mexico (NM),Utah (UT),Wyoming (WY),Alaska (AK),California (CA),Hawaii (HI),Oregon (OR),Washington (WA)
2018-04-30,192.38793665,198.31238176,199.21583088,206.14685445,190.48395357,158.30908325,196.98440936,194.03632817,179.03003203,229.14822446,271.59148068,221.01645671,231.9017031
2018-05-31,194.06836497,199.70371999,202.36347897,208.13021999,193.56727776,159.53307478,199.25430565,195.53164073,180.29893875,230.80177993,271.85422073,223.0287027,233.80396142
2018-06-30,195.56872092,200.35150736,204.67769322,209.70171605,195.80121593,160.17291906,201.16390811,197.35629678,181.16728122,231.76283413,272.11046265,224.64157547,234.73977026
2018-07-31,196.57701383,200.79030703,206.31629123,210.67816265,197.18565125,160.38416005,202.255709,199.00148817,181.37354345,232.10131481,272.58096409,225.07326468,234.92620054
2018-08-31,197.52494388,201.00876002,207.80505123,211.15582599,198.08833068,160.67830138,202.74469249,200.15506128,181.28682769,232.02815596,273.47911465,224.63206058,234.20514246
2018-09-30,198.69937455,200.8839073,209.00142292,211.45566668,199.00935855,161.03736455,203.05873013,200.69718878,181.14772828,231.65270011,274.64853563,223.98737114,233.17227572
2018-10-31,199.56590239,200.65199079,209.77733186,211.61824765,199.40753598,161.24640931,203.53788627,200.73715025,180.74039242,231.11047015,276.02443476,223.33132251,232.1404728
2018-11-30,199.8543754,200.78760778,210.48909031,211.40081584,199.00936342,161.28297512,203.99120631,200.59519235,180.27139427,230.12770712,277.07900511,222.85255934,231.07717347
2018-12-31,199.89281527,201.31931509,211.58760501,210.82903696,198.71865605,161.12784329,204.37128498,200.3664508,180.16888469,229.48558209,277.2149917,222.92850882,230.78202975
2019-01-31,200.32585467,202.59256168,213.22086489,210.58169947,199.10636008,161.10962766,205.25588421,200.35043975,180.63118123,230.19708847,276.52384626,223.84680246,231.90988568
2019-02-28,201.26459881,204.64600643,215.39534525,211.17007342,200.02087652,161.92416753,206.76110658,200.84784087,181.59564378,231.46546457,275.67283717,225.28410211,233.82592724
2019-03-31,202.82163756,206.42748565,218.30791592,212.6826262,201.18740636,163.76429643,208.64119904,201.87147211,182.81421456,232.78082368,275.31909344,227.01957602,236.29126528
2019-04-30,204.66344112,207.53274567,221.82207143,214.71872993,202.81602191,165.7861356,210.56871543,203.19892265,183.92595774,234.1453332,275.67900177,229.06534316,239.28635983
2019-05-31,206.01618205,208.38031048,224.98840392,216.60683776,204.32592128,167.0159755,212.44590812,204.80236542,184.74507338,235.28851189,276.67106944,231.04940192,241.60219392
2019-06-30,207.21266752,209.03063167,227.62543781,218.12278463,205.14745472,167.68696126,214.14713452,206.61694635,185.25654989,236.15954057,277.64245005,232.34325319,242.62083553
2019-07-31,208.7339221,209.4801324,230.13945023,219.11801706,205.44397451,168.52713065,215.05623125,208.23443308,185.38775063,236.67087243,278.10638237,232.78446385,243.02315153
2019-08-31,210.14569708,209.60389864,231.98215068,219.6446179,205.45819483,169.32501905,215.38291386,209.64352215,185.09000116,236.67651585,278.46552182,232.59154229,243.17945376
2019-09-30,211.18059808,209.14148598,233.34955672,220.35348311,205.45961368,169.73580221,215.86886473,210.70795456,184.49573804,236.59395222,279.22730787,231.98191221,242.9974375
2019-10-31,212.17466593,208.82425267,234.58842174,221.33748915,205.41742559,169.89292327,216.53112445,211.36388416,183.88319645,236.7196829,280.10532984,231.62301229,242.90165881
2019-11-30,213.21342844,209.25695048,235.7114013,222.50235553,205.45462441,170.11431805,217.29586381,211.97360032,183.42534354,236.77035302,280.84838665,231.88529513,243.11308077
2019-12-31,214.56623285,210.3681544,237.19227782,223.8737838,206.28330607,170.59029163,218.4938044,212.52902062,183.23011534,237.05202416,281.69495437,232.67026648,244.01416384
2020-01-31,216.44814872,212.27037686,239.29838092,225.1826462,208.15350149,171.53001956,220.53671817,212.94981764,183.52094903,238.31957302,282.63688642,234.1009161,246.56129306
2020-02-29,218.87082768,214.74288693,242.11210659,226.36938053,210.17596613,173.05057842,223.24240004,213.41613945,184.43782808,240.9702452,283.4008211,236.40826415,250.81570583
2020-03-31,221.41776095,216.82705623,245.20036849,227.56935472,211.59184153,174.85553827,226.04081459,213.86251137,185.81222397,243.27813283,283.74109358,238.88006797,254.95443224
2020-04-30,223.13997755,217.85070603,247.97015038,228.84187952,212.23267189,176.5586547,228.16791634,214.1586471,187.57674076,243.30134721,283.73618051,240.5205653,256.6830773
2020-05-31,224.43173266,218.63066057,250.8293243,230.54341928,212.85132479,177.99311277,230.162723,214.69351808,189.62763041,243.48385325,283.78126488,241.9931849,257.91709424
2020-06-30,226.90461183,220.3999256,254.32182257,233.20618431,214.33304234,179.45492382,233.18855492,216.05574633,191.53700039,245.81956892,284.1250613,244.63948776,261.22590759
2020-07-31,230.63763386,222.8039743,258.74173958,236.7504615,216.35854662,181.23529047,236.80954249,218.20671907,192.93648223,248.84902889,284.91411945,248.1542738,265.19309606
2020-08-31,234.46724221,224.86450658,264.51527351,240.8820645,218.41570769,183.38947195,240.31756009,220.59976283,193.8270488,252.06410881,286.24704451,251.69529969,268.32982138
2020-09-30,238.12230981,226.64257094,270.84366634,245.27819643,220.46569309,185.78882562,243.97907405,222.46506757,194.47252467,255.45904229,287.78352673,254.61933616,271.03692252
2020-10-31,241.59404522,228.53037856,276.93953307,249.67726217,222.77816574,188.04082876,247.84968384,223.51977436,195.25051371,258.64026125,289.3943127,256.96299429,273.56010385
2020-11-30,244.43522568,230.49315341,283.48150637,253.83311252,225.56021054,189.62821324,251.31618896,224.19908218,196.16702671,260.79258219,291.28348672,259.13425329,276.07866447
2020-12-31,247.36518049,232.97188239,290.57220189,257.51383551,228.48525544,190.635658,254.78426061,225.45548854,197.02532813,262.64792051,293.50169006,261.43921392,279.04965334
2021-01-31,251.89284792,236.93864369,297.57321668,261.31089564,231.33813172,192.23391449,259.85108177,228.00694842,197.69466231,265.58361936,296.01732326,264.93694214,283.06454883
2021-02-28,258.17692052,242.36633293,304.84204736,266.00937425,234.61097658,194.94078621,267.00779739,231.66765945,198.33450998,270.47411162,298.72041026,270.32268466,289.42204838
2021-03-31,264.94943383,248.58593829,312.86217498,271.63581164,239.06864947,198.06725053,275.31708436,235.92250254,199.30808755,276.85819902,301.4305073,276.9964093,297.21866901
2021-04-30,271.592715,253.315947,321.313596,277.163815,243.667582,201.154091,282.590546,240.243468,200.554367,281.589797,304.131611,283.522417,304.111485
