Date,Illinois (IL),Indiana (IN),Michigan (MI),Ohio (OH),Wisconsin (WI),Iowa (IA),Kansas (KS),Minnesota (MN),Missouri (MO),Nebraska (NE),North Dakota (ND),South Dakota (SD)
2019-08-31,138.42493777,148.60589887,130.86187232,136.67295713,158.77155747,155.62947347,159.45025883,167.01851026,158.3138429,165.32138374,225.70739066,187.20863653
2019-09-30,137.80515044,148.96066288,130.44185202,136.79618266,158.6677143,155.15809103,159.33901688,166.88099201,158.83112094,164.69839793,225.56043807,187.77960599
2019-10-31,137.36665566,149.43952574,129.82781711,136.70835596,158.27823717,154.79945107,159.00021701,166.21730475,159.70541949,163.9673535,225.21576857,187.75523148
2019-11-30,136.62920244,149.39534075,129.27997012,136.26061421,157.45661578,154.58940224,158.57152071,164.98686835,160.20035429,163.63484855,224.66193341,187.37111321
2019-12-31,135.92863755,148.68206177,128.82241021,135.83899385,156.51148913,154.34223874,158.56887168,164.27406753,160.39778197,163.91595816,223.97951707,187.09737517
2020-01-31,135.79710154,148.72812823,129.10695412,136.14415452,156.51117793,154.23310773,159.41744466,164.89687669,160.87818786,164.95826816,223.44031506,187.26849396
2020-02-29,136.64027321,150.34068147,130.32080863,137.61906252,157.7751973,154.71218931,161.0578762,167.08488156,161.85742523,166.78825919,223.52143406,188.01489162
2020-03-31,138.08457981,152.62445115,132.05448611,139.8202413,160.04385661,156.09844136,163.08474647,170.16021991,163.32307117,168.68755655,224.49200137,189.44313098
2020-04-30,139.16630647,154.88695605,133.36466157,141.93471743,162.18848168,157.94916434,165.29654339,172.72571896,165.02294779,170.29982915,226.29654608,191.63958829
2020-05-31,139.99161441,156.8733096,134.47188236,143.69530511,163.84646757,159.59038436,167.66860374,174.20065531,166.61606373,172.02608562,228.40853283,194.17889266
2020-06-30,141.40328109,158.65300616,136.72351013,145.46940051,166.02608429,160.9071999,169.93174495,175.72813845,168.66863994,174.05906395,230.28846639,196.335641
2020-07-31,143.19908168,160.36346027,139.24005756,147.57971067,168.67640221,162.17239713,172.08430286,177.79275767,170.99500751,176.07605881,231.82033324,197.93350778
2020-08-31,144.646683,161.95341675,141.01493687,149.69016101,170.97951492,163.4851741,173.93694171,179.86136766,173.08445803,177.55193999,233.23169014,199.10470059
2020-09-30,145.72064721,163.52054301,142.22253558,151.36691453,172.73600502,164.71224266,175.10414046,181.23874715,174.89839578,178.59854266,234.50032696,200.16919756
2020-10-31,146.57534985,165.41759455,142.87571588,152.86712919,173.8331508,165.43988477,175.53523917,181.65391413,175.9587216,179.56279807,234.88154115,201.58168913
2020-11-30,146.82466294,167.26146286,143.65768842,153.80485924,174.11058408,165.74228478,175.56132639,181.78417799,176.52299461,180.28663152,234.47099145,203.35361022
2020-12-31,146.80017445,168.12884375,144.39283047,153.5542998,174.16076158,166.08072243,175.81542118,181.95524802,177.24179633,181.09037758,234.22249327,205.44672911
