Date,Delaware (DE),Florida (FL),Georgia (GA),Maryland (MD),North Carolina (NC),South Carolina (SC),Virginia (VA),District of Columbia (DC),West Virginia (WV),Alabama (AL),Kentucky (KY),Mississippi (MS),Tennessee (TN),Arkansas (AR),Louisiana (LA),Oklahoma (OK),Texas (TX)
2015-12-31,153.9025323,173.31696603,125.52649014,173.99469998,133.00020492,135.49456525,174.28964929,317.50945284,141.29935025,128.3881802,131.8243826,130.19204173,143.27186229,135.38052276,154.95445406,147.0194572,168.47274659
2016-01-31,154.101363,174.30597418,126.1906701,174.26636239,133.6297047,135.6724183,174.42874753,318.21910042,141.24831458,128.38569833,132.1684958,130.72529146,144.06116789,135.23257426,155.22438977,147.1890253,169.35203649
2016-02-29,154.00223474,175.35468794,126.79900261,174.36841544,134.02741516,135.6171499,174.77065922,318.51766386,141.21602658,128.65183546,132.24218203,130.79322166,144.84900201,135.02105927,155.58975382,147.28747812,170.57076223
2016-03-31,153.68785108,177.00993749,127.53206283,174.63422712,134.37386803,135.79627587,175.2436662,318.54623736,141.20948331,128.99211068,132.33191847,130.8685171,145.46170663,135.43198371,156.12080734,147.26685453,171.1661188
2016-04-30,153.34917109,178.38152478,128.43131873,175.24237571,134.86912023,136.29770141,175.60895229,319.1148386,141.42551452,129.57110608,133.05626125,130.84962453,146.20547736,135.9134137,156.73207948,147.26015151,171.74760837
2016-05-31,153.05384275,179.862972,129.32554773,176.01359273,135.61138563,136.87519418,176.19297117,319.83866867,141.91131878,130.24306703,133.93447788,130.82324642,146.94528949,136.35208927,157.28172416,147.35223691,172.68076024
2016-06-30,152.89083043,181.42778606,129.81469802,176.72403225,136.33724675,137.36375559,176.65795755,320.7889884,142.49922085,130.79241521,134.80811672,130.78689416,147.65098261,136.64480438,157.60960407,147.6858897,173.70630492
2016-07-31,153.05942635,182.79963463,130.47604426,176.95306132,137.11593845,137.88868835,176.98784344,321.73206074,142.76587887,131.4592834,134.94755794,130.68615799,148.61706974,136.80007652,157.73555699,148.13253448,174.67522045
2016-08-31,153.50678214,184.12309723,131.2886775,177.40081249,137.89786649,139.01817875,177.44556716,322.82415495,142.87954104,132.04750519,135.06490709,130.59478343,149.79391354,136.83770571,157.68548101,148.50706899,175.85031621
2016-09-30,154.04086812,185.56622696,132.00916588,178.29397119,138.71238249,140.36637374,178.1524341,323.52638119,143.07886331,132.36621412,135.20855764,130.74111723,150.63656573,136.88818472,158.1812307,148.67432243,176.85425915
2016-10-31,154.42653557,186.92094343,132.61674123,178.92867888,139.28669567,141.16735334,178.95975973,324.45387239,143.27189873,132.47602452,135.52263202,131.14994719,151.28319438,137.22383026,159.10522835,148.68731547,177.70759083
2016-11-30,154.62462908,188.20053185,133.33650308,179.55302035,139.65854965,141.56519343,179.52731543,325.92412492,143.49114457,132.70336256,135.98751456,131.63188222,152.13225503,137.74208933,160.12202897,148.9775969,178.63383893
2016-12-31,154.8655156,189.47068999,134.06035551,179.80336515,140.06166157,142.02510168,179.7624713,327.61955801,143.52514605,133.15633381,136.677197,132.00981579,153.22137652,138.66176513,160.64084718,149.59840282,179.5979744
2017-01-31,155.04322253,191.05921093,134.84437572,180.10725301,140.53248097,142.64254481,180.0142071,329.80898241,143.45429307,133.53720419,137.53852181,132.1586929,154.23181011,139.58248581,160.93549398,150.36136678,180.84730642
